CROPS,SOIL,N,P,K,TEMP,RELATIVE_HUMIDITY,SOIL_PH
bengalgram,medium Black Soil,49.1,33.7,28.3,29.5,60.0,6.0
bengalgram,heavy Black Soil,43.1,38.9,38.6,20.4,60.0,5.6
bengalgram,medium Black Soil,53.5,38.3,31.8,25.9,60.0,7.0
bengalgram,heavy Black Soil,48.9,34.8,22.8,23.3,60.0,6.0
bengalgram,medium Black Soil,55.9,25.3,35.8,28.9,60.0,6.7
bengalgram,heavy Black Soil,40.0,20.3,37.5,29.9,60.0,5.6
bengalgram,medium Black Soil,47.9,23.0,24.0,21.9,60.0,6.7
bengalgram,heavy Black Soil,57.1,26.5,22.7,22.1,60.0,6.4
bengalgram,medium Black Soil,44.4,25.1,28.1,29.1,60.0,6.3
bengalgram,heavy Black Soil,42.8,32.2,28.6,22.3,60.0,7.0
bengalgram,medium Black Soil,51.7,20.7,22.8,28.4,60.0,6.6
bengalgram,heavy Black Soil,47.0,30.5,21.7,30.0,60.0,6.4
bengalgram,medium Black Soil,54.1,21.4,21.6,25.2,60.0,7.0
bengalgram,heavy Black Soil,40.0,28.2,29.4,21.1,60.0,6.0
bengalgram,medium Black Soil,53.3,27.9,25.4,25.7,60.0,6.5
bengalgram,heavy Black Soil,42.8,35.2,21.4,29.2,60.0,5.6
bengalgram,medium Black Soil,43.6,24.0,33.8,22.4,60.0,6.2
bengalgram,heavy Black Soil,44.8,33.0,27.2,20.9,60.0,5.6
bengalgram,medium Black Soil,47.4,23.8,27.2,28.6,60.0,6.1
bengalgram,heavy Black Soil,40.5,35.8,36.9,22.6,60.0,6.8
bengalgram,medium Black Soil,55.3,35.8,25.8,24.7,60.0,6.6
bengalgram,heavy Black Soil,56.6,32.6,29.2,23.8,60.0,6.0
bengalgram,medium Black Soil,52.5,22.6,25.1,28.9,60.0,5.9
bengalgram,heavy Black Soil,54.7,36.8,33.8,29.1,60.0,6.1
bengalgram,medium Black Soil,43.6,27.9,33.1,29.6,60.0,6.5
bengalgram,heavy Black Soil,58.4,39.3,38.3,29.9,60.0,6.7
bengalgram,medium Black Soil,58.5,24.2,35.7,23.9,60.0,6.4
bengalgram,heavy Black Soil,53.9,23.4,21.7,28.0,60.0,5.7
bengalgram,medium Black Soil,45.3,33.1,28.0,24.5,60.0,5.7
bengalgram,heavy Black Soil,41.6,32.6,39.2,20.6,60.0,6.6
bengalgram,medium Black Soil,44.0,24.6,32.7,21.8,60.0,6.9
bengalgram,heavy Black Soil,58.7,28.2,37.9,29.9,60.0,6.7
bengalgram,medium Black Soil,57.2,32.3,34.9,23.7,60.0,5.6
bengalgram,heavy Black Soil,42.7,31.0,22.1,23.1,60.0,5.8
bengalgram,medium Black Soil,43.7,33.2,31.4,23.8,60.0,5.6
bengalgram,heavy Black Soil,54.3,30.7,21.8,28.6,60.0,6.2
horsegram, light soi,40.4,21.1,40.0,38.1,51.9,6.1
horsegram,heavy soil ,46.2,33.9,33.8,29.5,50.9,6.0
horsegram, light soi,54.1,30.5,31.8,38.4,66.8,6.7
horsegram,heavy soil ,44.4,20.8,28.2,38.9,56.3,7.0
horsegram, light soi,51.5,31.0,35.1,37.3,61.9,6.9
horsegram,heavy soil ,50.7,30.3,30.9,39.5,78.7,6.4
horsegram, light soi,43.4,37.9,38.3,28.0,74.4,7.2
horsegram,heavy soil ,53.6,27.6,34.9,37.1,53.5,7.0
horsegram, light soi,51.0,37.2,32.5,25.3,78.3,6.4
horsegram,heavy soil ,51.6,35.2,30.8,39.3,76.9,6.4
horsegram, light soi,59.0,30.0,37.6,38.1,78.6,7.0
horsegram,heavy soil ,55.2,22.2,22.3,39.1,64.6,6.8
horsegram, light soi,52.6,31.2,39.8,30.6,70.2,6.5
horsegram,heavy soil ,52.9,24.0,24.4,36.0,76.7,6.9
horsegram, light soi,55.4,37.2,25.2,35.6,54.5,7.4
horsegram,heavy soil ,55.0,37.2,30.7,35.9,77.5,6.1
horsegram, light soi,52.1,21.6,31.3,34.6,51.2,6.9
horsegram,heavy soil ,48.5,24.5,31.7,29.1,74.5,6.5
horsegram, light soi,41.8,36.0,26.7,36.3,76.5,7.5
horsegram,heavy soil ,57.4,26.6,26.2,25.6,69.0,7.2
horsegram, light soi,48.0,20.4,22.5,32.3,60.5,6.8
horsegram,heavy soil ,52.2,30.5,21.1,37.2,68.0,6.9
horsegram, light soi,57.1,27.2,31.3,32.1,57.7,6.8
horsegram,heavy soil ,49.6,32.9,25.2,38.0,65.5,6.7
horsegram, light soi,42.4,27.4,22.2,30.5,54.2,7.1
horsegram,heavy soil ,43.9,36.6,32.4,31.6,69.1,6.4
horsegram, light soi,44.1,24.3,29.7,38.3,76.6,7.5
horsegram,heavy soil ,57.3,30.0,33.8,28.5,73.9,6.6
horsegram, light soi,41.2,22.0,39.8,33.8,55.2,7.1
horsegram,heavy soil ,54.4,32.0,39.6,36.4,57.2,7.4
horsegram, light soi,58.2,32.5,20.2,38.4,54.4,6.4
horsegram,heavy soil ,51.0,35.7,30.1,29.6,70.5,6.1
horsegram, light soi,42.5,33.3,36.4,33.1,74.5,6.8
horsegram,heavy soil ,42.6,30.9,34.6,26.5,59.0,6.6
horsegram, light soi,59.2,27.2,34.1,27.4,76.0,6.3
horsegram,heavy soil ,54.3,34.4,37.3,28.0,62.6,6.9
horsegram, light soi,47.7,29.4,20.3,27.4,72.4,6.1
horsegram,heavy soil ,52.3,39.7,28.8,38.6,60.6,7.2
horsegram, light soi,52.2,34.5,23.7,28.6,73.7,7.4
horsegram,heavy soil ,53.9,31.5,21.1,26.4,67.6,6.5
horsegram, light soi,54.6,35.0,31.3,28.7,63.3,7.5
horsegram,heavy soil ,47.6,20.8,25.3,33.6,64.1,7.3
horsegram, light soi,40.8,32.1,22.2,28.4,69.0,6.8
horsegram,heavy soil ,42.0,32.8,38.5,36.6,71.4,6.4
horsegram, light soi,42.6,36.7,22.1,29.8,62.7,7.4
horsegram,heavy soil ,53.3,25.6,24.2,38.3,53.2,7.1
horsegram, light soi,44.3,31.0,28.0,32.6,63.2,6.6
horsegram,heavy soil ,48.4,23.0,38.4,35.7,74.1,6.6
horsegram, light soi,56.9,21.1,31.5,28.0,50.8,7.0
horsegram,heavy soil ,52.5,27.8,33.1,27.6,72.4,7.2
horsegram, light soi,49.0,35.9,20.7,31.3,52.3,6.5
horsegram,heavy soil ,47.7,37.7,38.6,36.7,78.2,6.4
horsegram, light soi,51.4,27.8,20.9,38.8,75.2,6.1
horsegram,heavy soil ,57.1,39.2,24.6,27.9,60.3,6.5
horsegram, light soi,50.5,20.5,38.7,34.4,76.5,6.9
horsegram,heavy soil ,54.0,39.7,30.6,37.5,60.1,7.1
horsegram, light soi,46.2,26.6,29.0,33.2,54.1,6.7
horsegram,heavy soil ,41.7,21.1,33.5,30.1,71.8,7.4
horsegram, light soi,45.0,34.7,20.6,34.7,67.5,7.4
horsegram,heavy soil ,51.7,22.3,24.1,26.1,67.0,6.0
horsegram, light soi,40.6,31.4,25.0,27.4,69.2,6.4
horsegram,heavy soil ,55.8,39.0,24.1,32.6,51.8,7.4
horsegram, light soi,44.5,34.2,34.4,30.2,71.3,7.2
horsegram,heavy soil ,41.4,27.5,22.0,33.7,76.2,6.6
horsegram, light soi,57.7,40.0,28.3,33.0,66.0,6.3
horsegram,heavy soil ,42.9,37.5,37.5,38.6,65.1,7.2
horsegram, light soi,46.0,22.5,25.9,28.1,78.2,6.6
horsegram,heavy soil ,44.4,26.9,35.0,29.0,74.8,6.9
horsegram, light soi,59.3,24.9,23.3,39.0,52.4,6.4
horsegram,heavy soil ,58.8,23.7,31.6,26.8,56.3,7.1
horsegram, light soi,48.4,36.2,35.4,30.7,60.7,6.5
horsegram,heavy soil ,42.8,21.2,31.0,35.0,54.0,6.6
horsegram, light soi,53.8,33.1,22.8,33.1,67.4,6.1
horsegram,heavy soil ,40.6,27.4,28.0,33.6,50.1,6.1
horsegram, light soi,55.6,23.1,34.0,28.3,80.0,7.0
horsegram,heavy soil ,44.4,22.7,38.1,37.8,71.7,6.2
horsegram, light soi,57.7,27.0,30.0,34.7,74.9,6.7
horsegram,heavy soil ,41.5,22.7,29.7,36.2,60.2,6.7
horsegram, light soi,44.4,31.0,34.6,28.0,79.7,7.1
horsegram,heavy soil ,44.8,39.3,21.5,36.3,78.0,6.4
horsegram, light soi,58.7,32.6,39.0,35.9,73.0,6.2
horsegram,heavy soil ,59.4,38.5,23.8,31.8,71.3,7.3
horsegram, light soi,44.8,33.7,22.9,27.6,60.4,6.7
horsegram,heavy soil ,56.7,32.2,25.2,38.7,78.9,7.3
horsegram, light soi,57.5,38.5,39.8,28.1,57.5,7.0
horsegram,heavy soil ,47.4,39.5,22.3,30.9,51.3,6.2
horsegram, light soi,51.6,36.6,21.6,28.9,55.4,6.6
horsegram,heavy soil ,49.9,30.4,28.5,27.9,64.1,7.3
horsegram, light soi,53.8,24.5,24.6,37.2,70.8,6.9
horsegram,heavy soil ,45.5,30.1,28.4,35.2,60.8,6.1
horsegram, light soi,48.0,28.5,34.8,37.8,61.6,6.4
horsegram,heavy soil ,46.0,21.0,27.4,36.3,72.4,6.2
horsegram, light soi,43.0,38.2,32.0,25.6,62.9,7.5
horsegram,heavy soil ,52.2,28.1,31.9,31.1,62.4,6.6
horsegram, light soi,57.1,29.3,29.8,35.2,63.6,6.7
horsegram,heavy soil ,40.3,35.6,31.7,35.8,78.4,7.5
horsegram, light soi,52.4,33.4,26.8,39.4,77.0,6.1
horsegram,heavy soil ,51.6,27.8,30.4,28.7,67.9,6.6
horsegram, light soi,57.6,32.4,33.9,29.2,59.2,6.9
horsegram,heavy soil ,51.0,31.1,20.6,36.3,57.7,7.2
horsegram, light soi,48.5,30.2,33.7,36.7,65.3,6.4
horsegram,heavy soil ,41.8,25.2,37.6,32.4,68.8,6.1
horsegram, light soi,50.4,27.1,39.7,32.4,72.9,6.3
horsegram,heavy soil ,48.3,38.9,22.8,29.4,63.4,6.4
horsegram, light soi,47.6,21.6,31.9,25.6,64.4,6.2
horsegram,heavy soil ,57.9,32.9,20.6,36.6,58.0,6.9
horsegram, light soi,59.5,22.9,33.3,33.0,73.0,6.8
horsegram,heavy soil ,56.3,30.4,34.5,29.7,77.2,6.8
horsegram, light soi,53.7,37.5,39.1,39.5,56.4,7.0
horsegram,heavy soil ,57.8,30.0,38.8,33.3,76.2,6.8
horsegram, light soi,44.3,30.3,36.7,28.1,51.3,6.1
horsegram,heavy soil ,56.8,30.7,36.4,29.0,73.2,6.1
horsegram, light soi,45.8,36.9,28.1,37.6,63.0,6.7
horsegram,heavy soil ,56.1,29.1,24.1,36.1,72.3,6.7
horsegram, light soi,46.4,31.2,29.5,35.7,59.3,7.4
horsegram,heavy soil ,51.1,23.2,36.7,39.2,69.5,7.0
horsegram, light soi,51.7,27.0,21.1,34.2,78.5,7.2
horsegram,heavy soil ,46.4,26.3,29.3,38.0,57.0,6.5
horsegram, light soi,56.2,28.4,38.7,36.9,76.1,6.1
horsegram,heavy soil ,51.4,26.3,21.7,36.5,55.6,6.6
horsegram, light soi,44.4,30.6,32.8,30.5,72.6,6.7
horsegram,heavy soil ,58.5,30.1,33.1,38.5,61.8,6.6
horsegram, light soi,40.5,26.8,38.7,29.5,68.9,7.0
horsegram,heavy soil ,47.8,37.3,24.0,27.1,55.1,6.1
horsegram, light soi,46.7,21.3,37.7,37.9,60.7,7.5
horsegram,heavy soil ,40.8,39.0,25.3,34.6,73.7,7.1
horsegram, light soi,49.7,21.4,38.2,27.4,51.5,6.2
horsegram,heavy soil ,44.1,29.8,36.0,31.2,51.1,6.0
horsegram, light soi,44.9,21.9,37.3,27.9,75.1,6.5
horsegram,heavy soil ,50.2,29.8,35.6,37.2,66.4,6.3
horsegram, light soi,58.2,34.2,26.9,26.1,50.8,7.3
horsegram,heavy soil ,50.4,33.5,28.4,25.6,54.2,6.3
horsegram, light soi,43.3,28.6,32.7,30.8,63.2,7.1
horsegram,heavy soil ,41.7,28.7,38.9,27.7,65.5,6.1
horsegram, light soi,44.6,21.1,21.9,30.4,70.7,7.4
horsegram,heavy soil ,55.1,21.5,28.8,28.5,70.5,6.9
horsegram, light soi,42.6,27.3,23.9,31.1,60.8,7.5
horsegram,heavy soil ,53.4,39.7,37.8,36.5,61.3,6.7
horsegram, light soi,45.0,39.1,22.8,37.4,73.7,7.4
horsegram,heavy soil ,48.9,28.8,21.6,38.4,63.3,6.6
horsegram, light soi,56.8,27.5,32.3,28.1,78.8,6.6
horsegram,heavy soil ,40.8,34.8,32.7,31.2,77.9,6.3
horsegram, light soi,46.0,20.9,37.6,39.6,61.3,6.8
horsegram,heavy soil ,59.7,22.0,23.5,32.5,72.3,6.3
horsegram, light soi,55.5,38.7,33.5,36.5,77.7,6.0
horsegram,heavy soil ,40.3,38.7,27.2,28.5,71.7,6.2
horsegram, light soi,54.3,20.6,33.4,26.9,55.7,7.2
horsegram,heavy soil ,47.0,37.5,36.2,34.7,71.3,7.1
horsegram, light soi,46.8,23.1,20.7,34.9,55.5,6.8
horsegram,heavy soil ,49.8,22.4,23.0,28.6,51.5,6.0
horsegram, light soi,41.7,22.7,28.2,36.8,65.0,6.5
horsegram,heavy soil ,49.9,39.7,21.1,36.6,56.8,6.2
horsegram, light soi,51.3,22.6,35.9,38.4,56.5,6.3
horsegram,heavy soil ,41.7,22.7,27.0,32.4,69.3,6.2
horsegram, light soi,53.1,28.4,39.9,36.0,50.3,7.3
horsegram,heavy soil ,42.2,39.3,34.7,36.3,79.2,6.1
horsegram, light soi,52.1,39.8,36.3,37.4,79.0,6.8
horsegram,heavy soil ,54.1,34.1,32.5,30.6,71.0,6.4
horsegram, light soi,47.6,35.5,34.4,36.9,66.6,6.6
horsegram,heavy soil ,58.2,30.7,23.8,27.2,63.8,7.0
horsegram, light soi,56.9,31.1,28.9,32.7,59.2,6.1
horsegram,heavy soil ,49.9,22.2,20.2,36.3,51.6,6.4
horsegram, light soi,53.1,29.0,29.4,27.3,68.0,6.7
horsegram,heavy soil ,53.1,39.6,21.8,35.0,53.4,6.8
horsegram, light soi,47.4,38.3,31.7,26.3,77.9,6.1
horsegram,heavy soil ,41.5,28.9,33.1,34.2,50.9,6.9
horsegram, light soi,41.1,33.1,26.5,36.3,54.4,6.7
horsegram,heavy soil ,55.9,33.9,39.7,25.8,77.5,7.0
horsegram, light soi,59.8,21.7,29.6,31.7,73.1,6.9
horsegram,heavy soil ,53.6,23.5,22.3,37.1,58.8,7.3
horsegram, light soi,56.8,32.1,35.1,27.4,65.4,6.9
horsegram,heavy soil ,43.9,37.3,29.6,37.9,78.0,6.7
horsegram, light soi,40.1,22.4,28.6,38.1,63.4,6.4
horsegram,heavy soil ,49.7,33.1,34.5,29.5,65.4,7.2
horsegram, light soi,49.9,37.3,37.9,31.9,70.4,6.6
horsegram,heavy soil ,59.2,23.6,29.0,26.9,76.7,7.3
horsegram, light soi,56.4,26.4,39.3,36.6,69.4,6.3
horsegram,heavy soil ,46.5,36.6,35.9,35.0,62.5,6.8
horsegram, light soi,41.0,27.0,29.1,36.5,74.4,7.3
horsegram,heavy soil ,50.1,33.3,25.0,32.5,72.0,6.3
horsegram, light soi,42.8,33.7,31.8,37.3,77.7,7.0
horsegram,heavy soil ,52.9,35.6,36.8,33.6,52.1,6.7
horsegram, light soi,53.4,35.6,26.8,29.8,50.7,7.2
horsegram,heavy soil ,59.2,36.8,28.4,31.9,57.8,6.8
horsegram, light soi,46.9,31.3,38.6,25.2,52.5,7.1
horsegram,heavy soil ,53.1,28.8,35.3,36.9,61.4,6.7
horsegram, light soi,42.3,25.2,33.4,35.8,70.2,7.0
horsegram,heavy soil ,41.7,28.9,35.2,28.4,56.6,6.9
horsegram, light soi,48.4,30.7,20.9,27.0,54.3,7.0
horsegram,heavy soil ,51.2,27.3,37.4,28.9,60.7,7.2
horsegram, light soi,47.8,35.6,29.2,38.7,54.8,7.2
horsegram,heavy soil ,59.0,25.4,37.1,29.7,64.6,7.1
horsegram, light soi,54.5,26.3,31.9,40.0,55.9,7.3
horsegram,heavy soil ,48.3,33.1,35.5,39.0,78.2,6.1
horsegram, light soi,42.8,23.1,36.1,37.8,57.9,6.5
horsegram,heavy soil ,41.5,34.3,39.1,28.7,76.6,6.1
horsegram, light soi,54.6,39.3,26.1,36.3,68.3,7.4
horsegram,heavy soil ,48.4,28.9,22.9,31.8,65.7,6.7
horsegram, light soi,41.0,39.4,20.7,27.0,57.8,7.1
horsegram,heavy soil ,58.2,30.4,37.7,31.8,64.4,7.5
horsegram, light soi,54.5,24.1,23.1,39.9,79.0,7.1
horsegram,heavy soil ,48.7,25.3,37.4,36.9,63.5,6.0
horsegram, light soi,50.8,29.8,22.9,27.9,57.3,6.6
horsegram,heavy soil ,40.8,25.8,22.5,38.8,60.9,7.1
horsegram, light soi,49.3,33.3,28.1,35.9,68.4,7.1
horsegram,heavy soil ,58.2,32.3,21.3,37.0,73.1,6.2
horsegram, light soi,51.2,25.5,30.9,26.4,70.5,7.4
horsegram,heavy soil ,56.1,23.6,29.3,26.0,51.4,7.1
horsegram, light soi,44.8,22.2,38.3,26.3,78.4,6.2
horsegram,heavy soil ,57.8,39.0,24.8,31.8,67.2,7.2
horsegram, light soi,44.6,36.3,38.3,30.0,64.2,6.1
horsegram,heavy soil ,43.9,21.9,27.7,36.1,78.9,7.3
horsegram, light soi,49.0,32.0,23.3,37.3,74.5,7.1
horsegram,heavy soil ,46.8,20.2,35.7,26.9,51.5,6.6
horsegram, light soi,50.2,33.9,37.1,29.2,51.8,7.3
horsegram,heavy soil ,43.1,22.6,27.1,25.3,68.9,7.4
horsegram, light soi,46.5,28.9,35.6,29.7,73.4,6.5
horsegram,heavy soil ,43.3,34.7,34.5,39.7,78.1,6.2
horsegram, light soi,40.1,24.7,31.7,30.9,73.5,7.1
horsegram,heavy soil ,57.3,20.3,20.8,36.6,51.9,7.2
horsegram, light soi,40.9,20.1,33.6,39.4,61.9,6.8
horsegram,heavy soil ,45.1,37.9,20.7,35.5,58.4,7.1
horsegram, light soi,45.7,37.9,38.0,31.9,69.7,6.5
horsegram,heavy soil ,47.2,30.2,35.3,28.4,64.8,6.8
horsegram, light soi,40.4,21.1,38.0,26.5,77.9,6.7
horsegram,heavy soil ,55.2,24.4,25.4,36.7,63.3,7.0
horsegram, light soi,50.0,36.3,38.6,37.7,77.5,6.4
horsegram,heavy soil ,59.5,30.3,20.0,29.8,65.3,6.4
horsegram, light soi,50.9,28.0,25.4,37.4,78.8,7.0
horsegram,heavy soil ,52.5,30.1,21.6,33.4,51.8,6.1
horsegram, light soi,57.0,26.7,25.5,30.9,61.8,6.3
horsegram,heavy soil ,59.2,27.5,21.6,38.4,70.8,6.7
horsegram, light soi,55.3,29.3,21.7,39.6,50.1,6.3
horsegram,heavy soil ,54.4,25.5,21.4,33.1,76.0,6.6
horsegram, light soi,58.7,37.4,32.7,33.1,57.6,6.8
horsegram,heavy soil ,48.6,29.6,26.6,35.8,56.4,6.4
horsegram, light soi,50.5,39.6,36.1,37.8,67.4,6.2
horsegram,heavy soil ,41.7,35.2,33.6,28.5,77.6,6.6
horsegram, light soi,53.6,30.6,33.8,33.3,58.8,6.7
horsegram,heavy soil ,52.6,29.2,38.5,25.1,60.5,6.9
horsegram, light soi,51.3,27.6,21.8,34.2,63.2,6.3
horsegram,heavy soil ,57.9,21.6,36.7,31.6,57.4,7.3
horsegram, light soi,55.1,22.2,30.5,36.6,70.1,6.2
horsegram,heavy soil ,45.5,24.4,27.3,29.5,54.8,7.1
horsegram, light soi,49.1,27.3,33.4,38.0,55.4,7.3
horsegram,heavy soil ,53.4,37.2,35.2,35.3,51.4,6.5
horsegram, light soi,56.2,29.9,24.7,31.3,66.7,7.1
horsegram,heavy soil ,43.7,36.0,39.8,35.0,70.9,6.0
horsegram, light soi,46.0,34.6,33.6,32.1,59.4,6.6
horsegram,heavy soil ,41.6,36.9,21.5,34.2,50.5,6.2
horsegram, light soi,53.5,29.6,21.2,32.9,60.2,6.3
horsegram,heavy soil ,43.1,28.5,20.3,26.4,55.6,6.8
horsegram, light soi,55.9,27.7,26.6,34.1,53.0,6.6
horsegram,heavy soil ,46.5,20.3,39.6,37.3,58.2,6.2
horsegram, light soi,45.4,22.9,31.0,33.9,61.4,7.0
horsegram,heavy soil ,56.4,38.5,31.7,29.8,66.6,6.3
horsegram, light soi,57.0,37.5,38.3,34.5,62.4,7.4
horsegram,heavy soil ,57.0,38.2,25.5,26.0,57.2,6.4
horsegram, light soi,43.1,35.7,39.3,26.7,66.1,6.5
horsegram,heavy soil ,58.5,22.5,34.4,31.8,68.6,7.2
horsegram, light soi,44.5,38.5,36.7,37.1,77.5,6.1
horsegram,heavy soil ,51.4,40.0,29.7,30.4,62.8,7.3
horsegram, light soi,52.2,20.9,34.5,30.6,50.8,6.4
horsegram,heavy soil ,43.8,24.4,22.5,30.3,70.5,7.4
horsegram, light soi,56.1,21.2,24.6,27.2,61.5,7.4
horsegram,heavy soil ,53.5,34.7,30.2,26.2,70.1,6.0
horsegram, light soi,44.9,33.8,24.0,34.5,64.2,6.6
horsegram,heavy soil ,49.6,29.6,22.3,25.9,50.8,6.8
horsegram, light soi,48.9,38.3,29.6,26.1,78.9,7.0
horsegram,heavy soil ,57.5,33.3,31.6,36.0,62.8,6.3
horsegram, light soi,56.0,36.5,27.6,31.1,63.7,6.5
horsegram,heavy soil ,59.6,29.2,37.9,29.3,65.9,6.7
horsegram, light soi,41.4,29.9,37.1,29.9,68.7,7.2
horsegram,heavy soil ,40.2,33.7,39.8,27.2,73.0,7.1
horsegram, light soi,51.0,24.4,20.6,32.5,57.3,7.0
horsegram,heavy soil ,46.0,39.6,22.8,25.0,56.6,6.2
horsegram, light soi,53.3,32.3,31.2,34.8,79.3,6.5
horsegram,heavy soil ,49.9,23.8,21.3,29.0,65.8,6.4
horsegram, light soi,40.8,36.3,25.0,36.9,59.3,6.2
horsegram,heavy soil ,57.2,31.6,36.0,35.0,63.8,7.4
horsegram, light soi,59.5,27.3,23.3,37.0,59.8,6.8
horsegram,heavy soil ,52.0,33.6,29.5,30.7,61.8,7.1
horsegram, light soi,52.7,38.9,34.3,39.7,72.4,6.9
horsegram,heavy soil ,59.6,22.7,33.0,36.8,52.9,6.5
horsegram, light soi,47.3,21.9,28.4,38.9,57.5,7.1
horsegram,heavy soil ,50.4,22.3,27.1,29.7,67.7,7.4
horsegram, light soi,57.5,35.3,32.8,31.9,64.0,7.5
horsegram,heavy soil ,48.1,28.4,35.0,28.1,65.9,6.9
horsegram, light soi,57.8,28.6,39.9,28.9,72.5,6.0
horsegram,heavy soil ,52.1,38.7,26.6,36.9,60.3,7.0
horsegram, light soi,59.1,31.9,20.5,35.1,59.9,6.5
horsegram,heavy soil ,42.7,22.7,28.2,34.4,50.6,6.8
horsegram, light soi,52.0,20.5,37.6,27.3,50.3,6.3
horsegram,heavy soil ,55.3,23.4,21.2,38.6,70.3,6.6
horsegram, light soi,42.4,38.8,22.3,36.5,65.0,6.7
horsegram,heavy soil ,45.9,22.7,33.8,29.5,66.6,7.2
horsegram, light soi,53.6,29.7,35.0,29.8,67.2,7.1
horsegram,heavy soil ,46.6,28.9,31.2,39.4,77.8,6.2
horsegram, light soi,46.3,30.9,30.6,30.0,55.8,7.4
horsegram,heavy soil ,57.8,31.9,33.7,33.4,61.7,6.3
horsegram, light soi,41.4,27.7,27.5,35.3,68.9,6.5
horsegram,heavy soil ,57.3,30.5,31.8,38.9,50.6,7.1
horsegram, light soi,45.2,32.7,23.9,27.0,58.9,6.3
horsegram,heavy soil ,53.5,24.6,36.5,32.9,61.4,7.0
horsegram, light soi,46.6,21.2,37.7,28.8,69.0,6.5
horsegram,heavy soil ,46.7,29.8,36.4,33.4,52.7,7.4
horsegram, light soi,49.8,38.1,35.1,37.3,63.1,6.9
horsegram,heavy soil ,45.9,26.5,20.1,26.8,76.9,7.2
horsegram, light soi,40.7,24.4,26.1,36.9,69.2,6.2
horsegram,heavy soil ,48.7,35.8,31.0,33.3,67.4,6.4
horsegram, light soi,41.6,30.6,31.6,33.3,66.5,6.7
horsegram,heavy soil ,57.4,31.2,32.1,27.9,66.5,7.2
horsegram, light soi,50.3,36.3,39.7,26.6,79.1,6.8
horsegram,heavy soil ,43.1,37.1,33.3,35.7,73.8,6.4
horsegram, light soi,40.8,21.1,37.1,35.1,50.2,7.1
horsegram,heavy soil ,42.1,30.8,35.0,27.0,77.2,7.3
horsegram, light soi,49.6,24.7,24.5,28.6,73.6,6.4
horsegram,heavy soil ,55.0,38.7,30.6,25.5,64.9,6.9
horsegram, light soi,59.4,24.7,28.3,34.4,57.4,7.2
horsegram,heavy soil ,54.5,32.9,32.5,33.4,73.0,6.1
horsegram, light soi,58.3,29.3,36.0,35.8,66.2,6.9
horsegram,heavy soil ,56.5,29.6,34.8,26.2,74.0,7.1
horsegram, light soi,46.8,37.6,33.2,31.7,55.9,6.1
horsegram,heavy soil ,50.9,20.6,22.3,33.8,74.4,6.6
horsegram, light soi,41.2,21.6,29.1,36.4,68.6,7.2
horsegram,heavy soil ,47.9,34.4,23.5,38.9,64.2,7.4
horsegram, light soi,59.9,38.5,23.1,27.0,56.1,7.3
horsegram,heavy soil ,57.8,30.1,22.3,26.2,53.0,6.0
horsegram, light soi,45.5,23.0,26.5,26.5,60.6,6.6
horsegram,heavy soil ,40.5,36.8,22.9,32.3,78.8,7.3
horsegram, light soi,43.5,23.2,30.7,36.6,58.4,6.7
horsegram,heavy soil ,42.3,26.6,37.1,26.3,70.6,7.5
horsegram, light soi,47.5,29.3,29.2,29.6,51.4,7.4
horsegram,heavy soil ,40.4,23.6,34.3,34.4,64.4,7.2
horsegram, light soi,42.2,28.1,32.5,37.5,57.3,6.1
horsegram,heavy soil ,46.2,24.7,26.8,36.2,74.9,6.6
horsegram, light soi,44.2,28.7,27.1,31.6,70.8,6.4
horsegram,heavy soil ,40.2,34.0,20.7,37.8,78.2,6.0
horsegram, light soi,57.2,26.7,23.9,35.7,63.7,6.4
horsegram,heavy soil ,58.6,35.1,37.9,25.8,50.4,7.4
horsegram, light soi,40.3,34.7,21.6,32.5,70.5,6.0
horsegram,heavy soil ,53.6,35.4,37.5,35.4,51.3,7.4
horsegram, light soi,55.6,37.0,37.5,37.0,72.7,7.1
horsegram,heavy soil ,40.6,31.0,38.5,35.5,67.7,6.1
horsegram, light soi,41.4,26.8,39.4,35.9,77.5,6.6
horsegram,heavy soil ,41.4,26.5,37.3,25.1,72.5,6.1
horsegram, light soi,42.2,29.0,29.2,38.8,78.6,7.4
horsegram,heavy soil ,56.0,36.0,22.1,38.1,50.1,6.1
horsegram, light soi,45.2,38.0,37.0,28.8,60.3,6.7
horsegram,heavy soil ,45.1,28.5,29.9,29.9,52.4,7.4
horsegram, light soi,53.2,35.6,38.8,30.7,67.5,7.3
horsegram,heavy soil ,52.5,32.8,26.4,32.3,53.4,7.5
horsegram, light soi,46.0,25.8,25.1,30.2,73.7,7.3
horsegram,heavy soil ,55.7,22.6,24.5,35.9,55.0,7.3
horsegram, light soi,57.5,26.7,34.3,26.6,54.2,7.0
horsegram,heavy soil ,41.5,38.7,30.7,29.4,76.3,6.9
horsegram, light soi,59.7,22.8,35.0,25.3,60.4,6.4
horsegram,heavy soil ,41.7,38.9,27.0,38.4,75.1,6.4
horsegram, light soi,59.6,28.1,21.9,35.4,65.1,6.3
horsegram,heavy soil ,57.8,24.0,35.2,37.0,69.2,7.1
horsegram, light soi,41.4,25.8,28.5,26.1,79.8,7.0
horsegram,heavy soil ,55.9,24.5,31.8,32.7,63.7,7.5
horsegram, light soi,55.9,24.5,34.6,26.0,50.2,7.3
horsegram,heavy soil ,52.4,30.2,36.5,36.4,63.8,6.1
